MBCO	GO
Centrosome maturation	centriole elongation
Centrosome separation	centrosome separation
Cytokinesis	cytokinesis
Contractile ring formation	actomyosin contractile ring assembly
Contractile ring constriction	actomyosin contractile ring contraction
Intracellular bridge assembly	cleavage furrow formation
Intracellular bridge abscission	cleavage furrow ingression
Eukaryotic DNA replication	nuclear DNA replication
DNA replication initiation	nuclear cell cycle DNA replication initiation
Prereplicative complex formation	pre-replicative complex assembly
DNA single-strand break repair	single strand break repair
Mismatch repair	mismatch repair
Base excision repair	base-excision repair
Nucleotide excision repair	nucleotide-excision repair;preincision complex assembly
DNA double-strand break repair	double-strand break repair
Non-homologous end joining DSB repair	double-strand break repair via classical nonhomologous end joining
Homologous recombination DSB repair	double-strand break repair via homologous recombination
Alternative end joining DSB repair	double-strand break repair via alternative nonhomologous end joining
Single strand annealing DSB repair	double-strand break repair via single-strand annealing
DNA interstrand cross-links repair	interstrand cross-link repair
Mitochondrial DNA replication	mitochondrial DNA replication
Mitochondrial DNA repair	mitochondrial DNA repair;mitochondrial double-strand break repair
Nuclear protein export	protein export from nucleus
Nuclear protein import	protein import into nucleus
Protein import accross outer mitochondrial membrane machinery	protein import into mitochondrial intermembrane space;protein import into mitochondrial outer membrane
Protein import accross inner mitochondrial membrane machinery	protein import into mitochondrial matrix;inner mitochondrial membrane organization;protein import into mitochondrial inner membrane
Anterograde vesicle traffic from ER to Golgi	vesicle fusion with Golgi cis cisterna membrane;ER to Golgi vesicle-mediated transport
Vesicle biogenesis at ER membrane	COPII-coated vesicle budding
Retrograde vesicle traffic from Golgi to ER	retrograde vesicle-mediated transport;Golgi to ER
Vesicle biogenesis at cis-Golgi membrane	COPI coating of Golgi vesicle;cis-Golgi to rough ER; Golgi vesicle budding
Microtubule assistance of vesicle traffic between Golgi and ER	vesicle transport along microtubule
Clathrin-mediated vesicle traffic from TGN to endosomal lysosomal system	Golgi to endosome transport;Golgi to lysosome transport;trans-Golgi network to recycling endosome transport;clathrin coating of Golgi vesicle;trans-Golgi to endosome targeting
Clathrin-mediated vesicle traffic from TGN to lysosome	Golgi to lysosome transport;clathrin coating of Golgi vesicle
Retrograde vesicle traffic from endosome to TGN	retrograde transport;endosome to Golgi
Vesicle transport within the Golgi	intra-Golgi vesicle-mediated transport;COPI coating of Golgi vesicle;inter-Golgi cisterna
Vesicle exocytosis	exocytosis
Microtubule-based secretory vesicle traffic	Golgi to plasma membrane transport;Golgi to secretory granule transport;vesicle transport along microtubule
Vesicle tethering at plasma membrane	vesicle tethering involved in exocytosis;vesicle docking involved in exocytosis
Vesicle fusion with plasma membrane	synaptic vesicle fusion to presynaptic membrane
Exosome secretion	exosomal secretion
Lipid droplet dynamics	lipid storage
Endocytic pathway	plasma membrane to endosome transport;endocytic recycling;retrograde transport;endosome to plasma membrane;vesicle targeting;plasma membrane to endosome;plasma membrane to endosome transport;endocytic recycling;endocytic import into cell;ubiquitin-dependent endocytosis;synaptic vesicle recycling via endosome;early endosome to recycling endosome transport
Caveolin-mediated endocytosis	caveolin-mediated endocytosis
Clathrin-mediated endocytosis	clathrin-mediated endocytosis
Early endosome dynamics	endosome organization
Late endosome dynamics	endosome organization
Recycling endosome dynamics	endosome organization
Multivesicular body dynamics	multivesicular body organization;multivesicular body sorting pathway;ubiquitin-independent protein catabolic process via the multivesicular body sorting pathway
Retrograde vesicle traffic from plasma membrane to TGN	retrograde transport;plasma membrane to Golgi
Phagocytosis	phagosome maturation;phagosome-lysosome docking
Antigen presentation via MHC class II molecules	antigen processing and presentation following receptor mediated endocytosis
Nucleosome assembly	nucleosome assembly
Nucleosome disassembly	nucleosome disassembly
Histone methylation	histone methylation
Histone demethylation	histone demethylation
Histone acetylation	histone acetylation
Histone deacetylation	histone acetylation
Histone phosphorylation	histone phosphorylation
Histone dephosphorylation	histone dephosphorylation
Histone ubiquitination	histone ubiquitination
Histone deubiquitination	histone deubiquitination
Transcription	mRNA transcription
Transcription by rna polymerase II	RNA Polymerase II core complex assembly
Regulation of RNA polymerase II by elongation factors	transcription elongation from RNA polymerase II promoter
Nuclear mRNA export	mRNA export from nucleus
Pre-mRNA splicing	generation of catalytic spliceosome for first transesterification step;generation of catalytic spliceosome for second transesterification step
snRNA transcription	snRNA transcription
Cytoplasmic core snRNP assembly	cytoplasmic U snRNP body assembly
Target RNA degradation, inhibition or destabilization by RICS or RITS	small RNA loading onto RISC
Ribonucleoprotein assembly	ribonucleoprotein complex assembly
Ribonucleoprotein nuclear export	ribonucleoprotein complex export from nucleus
Ribonucleoprotein nuclear re-import	ribonucleoprotein complex import into nucleus
mRNA translation	translation
Translation initiation	cytoplasmic translational initiation
Translation elongation	cytoplasmic translational elongation
Translation termination	cytoplasmic translational termination
tRNA amino acid activation	tRNA aminoacylation for protein translation
Mitochondrial translation	mitochondrial translation
Mitochondrial translation initiation	mitochondrial translational initiation
Mitochondrial translation elongation	mitochondrial translational elongation
Mitochondrial translation termination	mitochondrial translational termination
Mitochondrial tRNA amino acid activation	tRNA aminoacylation for mitochondrial protein translation
Complement pathway and regulation	complement activation;regulation of complement activation
Classical complement pathway	complement activation;classical pathway
Alternative complement pathway	complement activation;alternative pathway
Lectin complement pathway	complement activation;lectin pathway
Membrane attack complex formation	activation of membrane attack complex
Endogenous control of complement activity	negative regulation of complement activation
Endoplasmic reticulum quality control system	ERAD pathway
GPI-anchor synthesis and attachment to protein	GPI anchor biosynthetic process;attachment of GPI anchor to protein
Post-translational protein modification in Mitochondria	mitochondrial protein processing
Mitochondrail unfolded protein response	mitochondrial unfolded protein response
Cortical cytoskeleton dynamics	cortical actin cytoskeleton organization
Cortical actin cytoskeleton dynamics	cortical actin cytoskeleton organization
Actin polymerization	actin filament polymerization
Actin filament severing and depolymerization	actin filament depolymerization;actin filament severing
Actin filament depolymerization	actin filament depolymerization
Actin filament severing	actin filament severing
Actin filament nucleation and branching	actin filament branching;actin nucleation
Actin filament nucleation	actin nucleation
Actin filament branching	actin filament branching
Actin filament capping	actin filament capping
Actin filament plus end capping	barbed-end actin filament capping
Actin filament minus end capping	pointed-end actin filament capping
Actin filament bundling and crosslinking	actin crosslink formation;actin filament bundle assembly
Microtubule dynamics	microtubule cytoskeleton organization
Microtubule nucleation	microtubule nucleation
Microtubule polymerization	microtubule polymerization
Microtubule crosslinking and bundling	microtubule bundle formation
Microtubule severing	microtubule severing
Microtubule organization center dynamics	microtubule organizing center organization
Centrosome organization	centrosome organization
Cytoplasmic intermediate filament and septin dynamics	intermediate filament cytoskeleton organization
Vimentin-like intermediate filament dynamics	intermediate filament cytoskeleton organization
Desmin dynamics	intermediate filament cytoskeleton organization
Glial fibrillary acidic protein dynamics	intermediate filament cytoskeleton organization
Peripherin dynamics	intermediate filament cytoskeleton organization
Vimentin dynamics	intermediate filament cytoskeleton organization
Epithelial intermediate filament dynamics	intermediate filament cytoskeleton organization
Acidic keratin dynamics	intermediate filament cytoskeleton organization
Neutral and basic keratin dynamics	intermediate filament cytoskeleton organization
Axonal intermediate filament dynamics	intermediate filament cytoskeleton organization
Neurofilament dynamics	intermediate filament cytoskeleton organization
Rolling cell adhesion	leukocyte tethering or rolling
Cell-cell junction organization	cell-cell adhesion
Adherens junction organization	adherens junction organization
Desmosome organization	desmosome organization
Tight junction organization	bicellular tight junction assembly
Gap junction organization	gap junction assembly;bicellular tight junction assembly
Cell-matrix adhesion organization	cell-matrix adhesion
Hemidesmosome organization	hemidesmosome assembly
Eukaryotic intraflagellar transport	intraciliary transport
Filopodium organization	actin filament bundle assembly;actin filament bundle organization
Lamellipodium organization	actin filament network formation
Apoptotic mitochondrial fragmentation	mitochondrial fragmentation involved in apoptotic process
Connection of muscle sarcomere to extracellular matrix	smooth muscle cell-matrix adhesion
Thin myofilament organization	muscle thin filament assembly
Sarcoplasmic reticulum organization	sarcomere organization
Myofibril formation	myofibril assembly
Mitophagy	activation of mitophagy in response to mitochondrial depolarization;macromitophagy;micromitophagy
Proteasomal core organization	proteasomal protein catabolic process;proteasome core complex assembly
Proteasomal regulatory particle organization	proteasome regulatory particle assembly
Glycolysis	canonical glycolysis
Gluconeogenesis	gluconeogenesis
Transmembrane glucose transport	glucose import across plasma membrane
Glycogenolysis	glycolysis from storage polysaccharide through glucose-1-phosphate
Pentose phosphate pathway	pentose-phosphate shunt
Oxidative phase of pentose phosphate pathway	pentose-phosphate shunt;oxidative branch
Non-oxidative phase of pentose phosphate pathway	pentose-phosphate shunt;non-oxidative branch
UDP-Glucose metabolism	UDP-glucose metabolic process
Electron transport chain	mitochondrial ATP synthesis coupled electron transport;oxidative phosphorylation
Malate-aspartate shuttle	malate-aspartate shuttle
Glycerol-3-phosphate shuttle	glycerophosphate shuttle
Mitochondrial FAD transmembrane transport	mitochondrial FAD transmembrane transport
Mitochondrial NAD transmembrane transport	mitochondrial NAD transmembrane transport
Urea cycle	urea cycle
Mitochondrial urea cycle reactions	urea cycle
Cytoplasmic urea cycle reactions	urea cycle
Free radical generation for respiratory burst	respiratory burst
Free fatty acid release from chylomicrons	chylomicron remodeling
Chylomicron remnant clearance	chylomicron remnant clearance
Free fatty acid release from VLDL particles	very-low-density lipoprotein particle remodeling
IDL particle clearance	intermediate-density lipoprotein particle clearance
IDL particle remodeling to LDL particle	intermediate-density lipoprotein particle remodeling
Fatty acid metabolism	fatty acid metabolic process
Beta-oxidation	fatty acid beta-oxidation
Mitochondrial beta-oxidation	fatty acid beta-oxidation
Peroxisomal beta-oxidation	fatty acid beta-oxidation
Fatty acid omega-hydroxylation	fatty acid omega-oxidation
Fatty acid transport by Carnitine shuttle	carnitine shuttle
Fatty acid elongation	fatty acid elongation
Desaturation of fatty acids	fatty acid metabolic process
Eicosanoid metabolism	icosanoid metabolic process
Prostanoid metabolism	prostanoid metabolic process
Leukotriene metabolism	leukotriene metabolic process
Epoxide metabolism	epoxygenase P450 pathway
Triacylglycerol metabolism and transport	triglyceride metabolic process;triglyceride transport
Triacylglycerol metabolism	triglyceride metabolic process
Triacylglycerol biosynthesis	triglyceride biosynthetic process
Triacylglycerol catabolism	triglyceride catabolic process
Triacylglycerol transport by lipoproteins	triglyceride transport
Triacylglycerol hydrolysis and mobilization	triglyceride mobilization
Extracellular triacylglycerol hydrolysis	triglyceride mobilization
Intracellular triacylglycerol mobilization	triglyceride mobilization
Membrane lipid metabolism	membrane lipid metabolic process
Phosphoglyceride biosynthesis	glycerophospholipid biosynthetic process
Phosphatidylcholine and phosphatidylethanolamine biosynthesis via Kennedy pathway	CDP-choline pathway;phosphatidylcholine biosynthesis from choline and CDP-diacylglycerol
Phosphatidylcholine, phoshpatidylethanolamine and phosphatidylserine interconversion	phosphatidylcholine biosynthesis from phosphatidylethanolamine;phosphatidylserine biosynthetic process
Phosphatidylinositol biosynthesis	phosphatidylinositol biosynthetic process
CDP-diacylglycerol biosynthesis	CDP-diacylglycerol biosynthetic process
Cardiolipin biosynthesis	cardiolipin biosynthetic process
Sphingolipid metabolism	sphingolipid metabolic process
Ceramide biosynthesis	ceramide metabolic process
Ganglioside biosynthesis	Ganglioside biosynthesis
Sphingomyelin metabolism	Sphingomyelin metabolism
Vitamin D metabolism	vitamin D metabolic process
Cholesterol synthesis	cholesterol biosynthetic process
Cholesterol esterification	cholesterol esterification
Cholesterol-sensitive control of SREBP activation	SREBP signaling pathway
Steroid hormone synthesis	steroid biosynthetic process
Progestagen synthesis	progesterone biosynthetic process
Glucocorticoid and Mineralocorticoid synthesis	glucocorticoid biosynthetic process;mineralocorticoid biosynthetic process
Androgen synthesis	androgen biosynthetic process
Estrogen synthesis	estrogen biosynthetic process
Heme synthesis	hemoglobin biosynthetic process
Cellular iron uptake	mitochondrial iron ion transport
Regulation of T cell differentiation	T cell differentiation
Regulation of myocyte cell differentiation	myoblast differentiation
Regulation of cardiomyocyte cell differentiation	cardiac muscle cell differentiation
Regulation of neuron cell differentiation	neuron differentiation
Mitochondrial transmembrane calcium transport	mitochondrial calcium ion transport
Mitochondria ER tethering	mitochondrion-ER tethering
ncRNA transcription	ncRNA transcription
cell quiescence	cell quiescence
mitotic nuclear envelope reassembly	mitotic nuclear envelope reassembly
lamin depolymerization	lamin depolymerization
mitotic nuclear envelope reassembly	mitotic nuclear envelope reassembly
mitotic nuclear envelope disassembly	mitotic nuclear envelope disassembly
