MBC_id	Process	Level	Querry	Parent_mbc_id	Parent_process	Search_finished
MBC:0000021	Intracellular degradation pathways	1	(Autophagy) OR (Lysosomal degradation) OR (Proteasomal degradation)	MBC:0000001	Molecular Biology of the Cell	True
MBC:0000022	Intracellular vesicle traffic	1	Intracellular vesicle traffic	MBC:0000001	Molecular Biology of the Cell	True
MBC:0000023	Iron, heme and hemoglobin homeostasis	1	"(""Heme metabolism"") OR (""hemoglobin metabolism"") OR (""Heme synthesis"") OR (""hemoglobin synthesis"") OR (""Heme catabolism"") OR (""hemoglobin catabolism"") OR (""Heme degradation"") OR (""Hemoglobin degradation"") OR ((""Iron homeostasis"") AND (human))"	MBC:0000001	Molecular Biology of the Cell	True
MBC:0000024	Lipid metabolism	1	Lipid metabolism	MBC:0000001	Molecular Biology of the Cell	True
MBC:0000025	Membrane transport of small molecules and electrical properties of membranes	1	(ion) AND ((transmembrane) AND ((transport) OR (Channel) OR (symport) OR (Antiport) OR (ATPase)))	MBC:0000001	Molecular Biology of the Cell	True
MBC:0000026	Mitochondrial gene expression	1	"(""Mitochondrial gene expression"")"	MBC:0000001	Molecular Biology of the Cell	True
MBC:0000027	Neurotransmission	1	(Neurotransmission)	MBC:0000001	Molecular Biology of the Cell	True
MBC:0000028	Nucleotide metabolism	1	Nucleotide metabolism	MBC:0000001	Molecular Biology of the Cell	True
MBC:0000029	Organelle organization	1	"(""ER structure"") OR (""endoplasmic reticulum structure"") OR (""nuclear envelope structure"") OR (""ER network"") OR (""endoplasmic network"") OR (((Golgi) OR (TGN)) AND (organization) AND ((structure) OR (architecture))) OR (((""cell nucleus"") OR (""nucleoskeleton"") OR (""nuclear membrane"") OR (""nuclear chromatin"")) AND (interphase)) OR ((""mitochondrial dynamics""))"	MBC:0000001	Molecular Biology of the Cell	True
MBC:0000030	Plasma Lipoprotein dynamics	1	"Plasma Lipoprotein AND (""Assembly"" OR ""remodeling"" OR ""clearance"")"	MBC:0000001	Molecular Biology of the Cell	True
MBC:0000031	Posttranslational protein modification	1	"(""Post-translational modification"") NOT (phosphorylation)"	MBC:0000001	Molecular Biology of the Cell	True
MBC:0000032	Regulated cell death	1	"(""Regulated cell death"")"	MBC:0000001	Molecular Biology of the Cell	True
MBC:0000033	Regulation of cell differentiation	1	"Regulation AND ""cell differentiation"""	MBC:0000001	Molecular Biology of the Cell	True
MBC:0000034	Regulation of cell morphogenesis	1	"Regulation AND ""cell morphogenesis"" AND (human OR mammals OR mice)"	MBC:0000001	Molecular Biology of the Cell	True
MBC:0000035	RNA mediated cellular regulation	1	"RNA AND (""cellular"" OR ""cell"") AND ""regulation"""	MBC:0000001	Molecular Biology of the Cell	True
MBC:0000036	Transmembrane protein import and translocation	1	"(Transmembrane) AND ((""protein import"") OR (""protein export"") OR (""protein transport"") OR (""protein translocation"")) NOT (bacterial) NOT (plant)"	MBC:0000001	Molecular Biology of the Cell	True
MBC:0000037	Vitamin metabolism	1	"((""biotin biosynthesis"") OR (""biotin synthesis"") OR (""niacin biosynthesis"") OR (""nicotinic acid biosynthesis"") OR (""NAD biosynthesis"") OR (""NADP biosynthesis"") OR (""riboflavin biosynthesis"") OR (""FMN biosynthesis"") OR (""FAD biosynthesis"") OR (""vitamin B12 biosynthesis"") OR (""cobalamin biosynthesis"") OR (""vitamin B12 synthesis"") OR (""cobalamin synthesis"") OR (""vitamin A biosynthesis"") OR (""retinol biosynthesis"") OR (""retinal biosynthesis"") OR (""retinic acid biosynthesis"") OR (""vitamin K biosynthesis"") OR (""phylloquinone biosynthesis"") OR (""vitamin C biosynthesis"") OR (""ascorbic acid biosynthesis"") OR (""vitamin B1 biosynthesis"") OR (""thiamine metabolism"")) AND (enzyme)"	MBC:0000001	Molecular Biology of the Cell	True
MBC:0000038	Actin filament dynamics	2	"(""Actin dynamics"")"	MBC:0000016	Cytoskeleton dynamics	True
MBC:0000039	Ammonium metabolism	2	"((((""amino acid"") OR (""amino acids"") OR (""alpha-keto acid"") OR (""alpha-keto acids"")) AND ((amination) OR (deamination))) OR ((Transamination) AND (aminotransferase)) OR (""urea cycle"") OR (""urea metabolism"")) AND (enzyme) AND ((human) OR (animal) OR (mammal) OR (muscle) OR (liver) OR (kidney))"	MBC:0000002	Amino acid metabolism	True
MBC:0000040	Amyloid generation and aggregation	2	"(""amyloid"") AND ((generation) OR (aggregation))"	MBC:0000019	Extracellular matrix homeostasis	True
MBC:0000041	Antigen presentation	2	"(""antigen presentation"") AND (""MHC class"")"	MBC:0000022	Intracellular vesicle traffic	True
MBC:0000042	Apoptosis	2	Apoptosis	MBC:0000032	Regulated cell death	True
MBC:0000043	Autophagy	2	(Autophagy) AND ((pathways) OR (types) OR (mechanisms))	MBC:0000021	Intracellular degradation pathways	True
MBC:0000044	Basement membrane dynamics	2	"(""Basement membrane"")"	MBC:0000019	Extracellular matrix homeostasis	True
MBC:0000045	Blood protein dynamics	2	"(""Acute-phase response proteins"") OR (""Acute-phase response protein"") OR ((""Albumin"") AND (""protein transport"")) OR (""Plasma Immunoglobulins"")"	MBC:0000015	Coagulation cascade, complement system and blood protein dynamics	True
MBC:0000046	Bombesin receptor signaling	2	"(""bombesin"") AND (signaling)"	MBC:0000007	Cellular communication	True
MBC:0000047	Carbohydrate metabolism and transport	2	"((""Glucose metabolism"") OR (""Carbohydrate metabolism"")) AND (enzyme) AND ((human) OR (animal) OR (mammal))"	MBC:0000018	Energy generation and metabolism of cellular monomers	True
MBC:0000048	Cardiomyocyte action potential generation and propagation	2	"((((""Action potential"") AND ((depolarization) OR (hyperpolarization) OR (repolarization))) OR (pacemaker) OR (""Hyperpolarization-activated cation channels"")) AND (channel) AND (cardiomyocyte)"	MBC:0000027	Neurotransmission	True
MBC:0000049	Cell Scenescence	2	Cell senescence AND (human OR mammals OR mice)	MBC:0000003	Cell cycle and cell division	True
MBC:0000050	Cell-cell junction organization	2	Cell-cell junction organization	MBC:0000005	Cell junction dynamics	False
MBC:0000051	Cell-matrix adhesion organization	2	"(""cell-matrix adhesion"") OR (""Focal adhesion"") OR (hemidesmosome)"	MBC:0000005	Cell junction dynamics	False
MBC:0000052	Cellular antioxidant systems	2	"(Cellular) AND ((""antioxidant systems"") OR (""antioxidant system""))"	MBC:0000011	Cellular redox homeostasis	True
MBC:0000053	Cellular circadian clock dynamics at day	2	"Day AND ((""Circadian clock"") OR (""Circadian regulation"")) NOT Plant"	MBC:0000006	Cellular circadian clock dynamics	True
MBC:0000054	Cellular circadian clock dynamics at night	2	"Night AND ((""Circadian clock"") OR (""Circadian regulation"")) NOT Plant "	MBC:0000006	Cellular circadian clock dynamics	True
MBC:0000055	Cellular response to energy deprivation	2	(Cellular) AND (response) AND (energy) AND (deprivation)	MBC:0000012	Cellular response to stress	True
MBC:0000056	Cellular response to hypoxia	2	(Cellular) AND (response) AND (hypoxia)	MBC:0000012	Cellular response to stress	True
MBC:0000057	Cellular response to oxidative stress	2	"(Cellular) AND (response) AND (""oxidative stress"")"	MBC:0000012	Cellular response to stress	True
MBC:0000058	Cellular response to radiation	2	(Cellular) AND (response) AND (radiation)	MBC:0000012	Cellular response to stress	True
MBC:0000059	Centrosome cycle	2	Centrosome cycle	MBC:0000003	Cell cycle and cell division	True
MBC:0000060	Chromatin remodeling	2	"(""Chromatin remodeling"")"	MBC:0000013	Chromatin and histone dynamics	True
MBC:0000061	Chromosome segregation by mitotic spindle	2	"((""Mitotic chromosome segregation"") OR (""Mitotic spindle"")) NOT (viral) NOT (virus)"	MBC:0000003	Cell cycle and cell division	True
MBC:0000062	Clock mediated apoptosis	2	"Clock  AND ""apoptosis"" AND (human OR mice OR mammals) Bmal1 interference impairs hormone synthesis and promotes apoptosis in porcine granulosa cells.PMID: 28708501"	MBC:0000014	Circadian clock mediated cellular regulation	True
MBC:0000063	Clock mediated control of cell differentiation	2	"Clock  AND ""cell differentiation""(human OR mice OR mammals)"	MBC:0000014	Circadian clock mediated cellular regulation	True
MBC:0000064	Clock mediated control of cell division	2	"Clock  AND ""cell division"" AND (human OR mice OR mammals)"	MBC:0000014	Circadian clock mediated cellular regulation	True
MBC:0000065	Clock mediated immune response	2	"Clock  AND ""Immune response"" AND (human OR mice OR mammals) Interleukin-17 receptor A (IL-17RA) as a central regulator of the protective immune response against Giardia."	MBC:0000014	Circadian clock mediated cellular regulation	True
MBC:0000066	Coagulation cascade and its regulation	2	"(""Coagulation cascade"") OR (""Regulation of coagulation"")"	MBC:0000015	Coagulation cascade, complement system and blood protein dynamics	True
MBC:0000067	Collagen biosynthesis	2	"(""Procollagen biosynthesis"") OR (""procollagen synthesis"") OR (""procollagen processing"") OR (""collagen biosynthesis"") OR (""collagen synthesis"") OR (""collagen processing"")"	MBC:0000019	Extracellular matrix homeostasis	True
MBC:0000068	Complement pathway and regulation	2	"(""complement pathway"") OR (""complement regulation"") "	MBC:0000015	Coagulation cascade, complement system and blood protein dynamics	True
MBC:0000069	Control of postsynaptic potential	2	(postsynaptic) AND (potential)	MBC:0000027	Neurotransmission	True
MBC:0000070	Cortical cytoskeleton dynamics	2	"(""cortical cytoskeleton"")"	MBC:0000016	Cytoskeleton dynamics	True
MBC:0000071	Cytokinesis	2	"(cytokinesis) AND (""cell division"") "	MBC:0000003	Cell cycle and cell division	True
MBC:0000072	Cytoplasmic intermediate filament and septin dynamics	2	"((""Intermediate filaments"") OR (septins)) NOT (laminin)"	MBC:0000016	Cytoskeleton dynamics	True
MBC:0000073	Cytoplasmic post-translational protein modification	2	"((""Post-translational modification"") OR (folding)) AND ((Cytosol) OR (Cytoplasm)) NOT (ER) NOT(endoplasmic)"	MBC:0000031	Posttranslational protein modification	False
MBC:0000074	Degradation by lysosomal enzymes	2	"(""lysosomal enzymes"") OR (""lysosomal acidification"")"	MBC:0000021	Intracellular degradation pathways	True
MBC:0000075	DNA double-strand break repair	2	"(""DNA repair"") AND (""double strand break"")"	MBC:0000017	DNA replication, recombination and repair	False
MBC:0000076	DNA interstrand cross-links repair	2	"((""interstrand cross-links"") OR (""interstrand cross-link"")) AND (""DNA repair"")"	MBC:0000017	DNA replication, recombination and repair	False
MBC:0000077	DNA recombination	2	"(""DNA recombination"") OR (""VDJ recombination"") OR (Transpositional recombination)"	MBC:0000017	DNA replication, recombination and repair	True
MBC:0000078	DNA single-strand break repair	2	"(""DNA repair"") AND ((""single strand breaks"") OR (""single strand break""))"	MBC:0000017	DNA replication, recombination and repair	False
MBC:0000079	Drug and toxin export	2	"(""Drug export"") OR (""Toxin export"")"	MBC:0000009	Cellular detoxification	True
MBC:0000080	Elastogenesis	2	"(""elastogenesis"")"	MBC:0000019	Extracellular matrix homeostasis	True
MBC:0000081	Endocytic pathway	2	"(""endocytic pathway"") OR ((""endosome"") AND (""endocytosis""))"	MBC:0000022	Intracellular vesicle traffic	True
MBC:0000082	Endoplasmic reticulum and nuclear envelope organization	2	"(""ER structure"") OR (""endoplasmic reticulum structure"") OR (""nuclear envelope structure"") OR (""ER network"") OR (""endoplasmic network"") "	MBC:0000029	Organelle organization	True
MBC:0000083	Endoplasmic reticulum membrane protein insertion and import	2	"((""Membrane protein insertion"") OR (""Protein import"") OR (""Membrane protein assembly"") OR (""Protein translocation"")) AND ((""endoplasmic reticulum"") OR (ER))"	MBC:0000036	Transmembrane protein import and translocation	True
MBC:0000084	Epidermal growth factor family signaling	2	"((""EGFR family"") OR (""EGF family"") OR (""Epidermal growth factor family"") Or (""EGF receptor family"")) AND (signaling)"	MBC:0000007	Cellular communication	True
MBC:0000085	Eukaryotic cilium and flagellum organization	2	((cilium) OR (cilia) OR (Flagella) OR (Flagellum)) AND (human)	MBC:0000010	Cellular protrusion organization	True
MBC:0000086	Eukaryotic DNA replication	2	"(""DNA replication"") AND (Eukaryotic) NOT (viral) NOT (virus) NOT (bacteria) NOT (yeast)"	MBC:0000017	DNA replication, recombination and repair	True
MBC:0000087	Extracellular matrix breakdown	2	"(""Extracellular matrix breakdown"") OR (""Extracellular matrix degradation"") OR (""Extracellular matrix proteolysis"")"	MBC:0000019	Extracellular matrix homeostasis	True
MBC:0000088	Fatty acid metabolism	2	"(""Fatty acid"") AND (metabolism) AND (enzyme) AND ((human) OR (animal) OR (mammal))"	MBC:0000024	Lipid metabolism	True
MBC:0000089	Fibronectin matrix dynamics	2	"(""fibronectin network"") OR (""fibronectin matrix"") "	MBC:0000019	Extracellular matrix homeostasis	True
MBC:0000090	Filopodium and lamellipodium organization	2	((filopodium) OR (filopodia) OR (lamellipodium) OR (lamellipodia)) AND (human)	MBC:0000010	Cellular protrusion organization	True
MBC:0000091	Free radical generation for respiratory burst	2	"(radical generation) AND ((myeloperoxidase) OR (MPO) OR (""NADPH-oxidase""))"	MBC:0000011	Cellular redox homeostasis	True
MBC:0000092	Gastrointestinal hormone signaling	2	"((""gastrin receptor"") OR (""CCKB receptor"") OR (""CCK2 receptor"") OR (""cholecystokinin B receptor"") OR (""Ghrelin receptor"") OR (""Leptin receptor signaling"") OR (""Motilin receptor"") OR (""GIP receptor"") OR (""Glucose-dependent insulinotropic polypeptide receptor"") OR (""Gastric inhibitory polypeptide receptor"") OR (""Vasoactive intestinal peptide receptor"") OR (""VIP receptor"")) AND (signaling)"	MBC:0000007	Cellular communication	True
MBC:0000093	Glycosaminoglycan synthesis	2	"(""glycosaminoglycan biosynthesis"") OR (""glycosaminoglycan synthesis"") OR (""glycosaminoglycan production"")"	MBC:0000019	Extracellular matrix homeostasis	True
MBC:0000094	Heme and hemoglobin metabolism	2	"(""Heme metabolism"") OR (""hemoglobin metabolism"") OR (""Heme synthesis"") OR (""hemoglobin synthesis"") OR (""Heme catabolism"") OR (""hemoglobin catabolism"") OR (""Heme degradation"") OR (""Hemoglobin degradation"")"	MBC:0000023	Iron, heme and hemoglobin homeostasis	True
MBC:0000095	Histone modification	2	(Histone) AND (modification)	MBC:0000013	Chromatin and histone dynamics	True
MBC:0000096	Immune receptor Signaling	2	"(""immune cell receptor"") AND (signaling)"	MBC:0000007	Cellular communication	True
MBC:0000097	Interferon signaling	2	"(""Interferon signaling"")"	MBC:0000007	Cellular communication	True
MBC:0000098	Interleukin receptor signaling	2	"(""Interleukin"") AND (""receptor signaling"")"	MBC:0000007	Cellular communication	True
MBC:0000099	Interphase nucleus and nuclear chromatin organization	2	"((""cell nucleus"") OR (""nucleoskeleton"") OR (""nuclear membrane"") OR (""nuclear chromatin"")) AND (interphase)"	MBC:0000029	Organelle organization	True
MBC:0000100	Intracellular common signaling cascades of multiple pathways	2	"((""PI3K/AKT signaling pathway"") OR (""MAPK signaling pathway"") OR (""nitric oxide signaling pathway"") OR (""JAK STAT signaling pathway"") OR (""NFKB pathway"") OR (""Calcium signaling"") OR (""Protein kinase C signaling"") OR (""Phospholipase C signaling pathway"") OR (""Phospholipase C signaling cascade"") OR (""PLC signaling pathway"") OR (""Phospholipase C signal transduction"") OR (""PLC signal transduction"") OR (""Adenylate cyclase"")) AND (signaling)"	MBC:0000007	Cellular communication	True
MBC:0000101	Iron homeostasis	2	"(""Iron homeostasis"") AND (human)"	MBC:0000023	Iron, heme and hemoglobin homeostasis	True
MBC:0000102	Kinin–kallikrein system	2	"(""Kinin–kallikrein system"") OR (""kinin system"") OR (""Kallidin"") OR (""low-molecular weight kininogen"") OR (""High-molecular weight kininogen"") OR (""Bradykinin"")"	MBC:0000007	Cellular communication	True
MBC:0000103	Lipid droplet dynamics	2	"(""Lipid droplet"") OR (""Lipid droplets"")"	MBC:0000022	Intracellular vesicle traffic	True
MBC:0000104	lncRNA mediated apoptosis	2	"(""lncRNA"" AND ""Apoptosis"")"	MBC:0000035	RNA mediated cellular regulation	True
MBC:0000105	lncRNA mediated cell differentiation	2	"(""lncRNA"" AND ""differentiation"")"	MBC:0000035	RNA mediated cellular regulation	True
MBC:0000106	lncRNA regulated transcription	2	"(""lncRNA regulated transcription"")"	MBC:0000035	RNA mediated cellular regulation	True
MBC:0000107	Matricellular protein signaling	2	"(""signaling"") AND ((""matricellular proteins"") Or (""matricellular protein""))"	MBC:0000007	Cellular communication	True
MBC:0000108	Mature alveolar cell differentiation markers	2	"(""alveolar cells"" OR ""pneumocytes"") AND ""mature"" AND ""markers"" AND (humans OR mice OR mammals) "	MBC:0000004	Cell differentiation markers	True
MBC:0000109	Mature Bone cell differentiation markers	2	"(""Bone cells"") AND ""mature"" AND ""markers"" AND (humans OR mice OR mammals)"	MBC:0000004	Cell differentiation markers	True
MBC:0000110	Mature germ cell differentiation markers	2	"(""germ cells"") AND ""mature"" AND ""markers"" AND (humans OR mice OR mammals) "	MBC:0000004	Cell differentiation markers	True
MBC:0000111	Mature Hematopoietic stem cell differentiation markers	2	"hematopoietic stem cells AND ""mature"" AND ""markers"" AND (humans OR mice OR mammals)"	MBC:0000004	Cell differentiation markers	True
MBC:0000112	Mature kidney cell differentiation markers	2	"(""Kidney cells"") AND ""mature"" AND ""markers"" AND (humans OR mice OR mammals)"	MBC:0000004	Cell differentiation markers	True
MBC:0000113	Mature liver cell differentiation markers	2	"(""Liver cells"") AND ""mature"" AND ""markers"" AND (humans OR mice OR mammals)"	MBC:0000004	Cell differentiation markers	True
MBC:0000114	Mature neuronal cell differentiation markers	2	"(""neuronal cells"" OR ""neuroglial cells"") AND ""mature"" AND ""markers"" AND (humans OR mice OR mammals)"	MBC:0000004	Cell differentiation markers	True
MBC:0000115	Mature retinal cell differentiation markers	2	"(""Retinal cells"") AND ""mature"" AND ""markers"" AND (humans OR mice OR mammals)"	MBC:0000004	Cell differentiation markers	True
MBC:0000116	Mechanotransduction	2	"(""Mechanotransduction"") NOT (Plant)"	MBC:0000007	Cellular communication	True
MBC:0000117	Membrane lipid metabolism	2	"((""phosphoglyceride biosynthesis"") OR (""phosphoglyceride synthesis"") OR (""phosphatidylcholine biosynthesis"") OR (""phosphatidylcholine synthesis"") OR (""phosphatidylethanolamine biosynthesis"") OR (""phosphatidylethanolamine synthesis"") OR (""phosphatidylserine biosynthesis"") OR (""phosphatidylserine synthesis"") OR (""phosphatidylinositol biosynthesis"") OR (""phosphatidylinositol synthesis"") OR (""Kennedy pathway"") OR (""Lands cycle"") OR (""phospholipid remodeling"") OR (""sphingolipid biosynthesis"") OR (""sphingolipid synthesis"") OR (""sphingolipid metabolism"") OR (""flippases"")) AND (enzyme) AND ((human) OR (animal) OR (mammal))"	MBC:0000024	Lipid metabolism	True
MBC:0000118	Metabolism and transport of cholesterol, steroids and bile acids	2	((Metabolism) OR (transport)) AND ((cholesterol) OR (steroids) OR (bile acids))	MBC:0000024	Lipid metabolism	True
MBC:0000119	Metabolism of essential amino acids	2	"((""lysine degradation"") OR (""Lysine catabolism"") OR (""Lysine metabolism"") OR (""leucine degradation"") OR (""leucine catabolism"") OR (""leucine metabolism"") OR (""isoleucine degradation"") OR (""isoleucine catabolism"") OR (""isoleucine metabolism"") OR (""valine degradation"") OR (""valine catabolism"") OR (""valine metabolism"") OR (""Phenylalanine degradation"") OR (""Phenylalanine catabolism"") OR (""Phenylalanine metabolism"") OR (""Tryptophan degradation"") OR (""Tryptophan catabolism"") OR (""Tryptophan metabolism"")) AND (enzyme) AND ((human) OR (animal) OR (mammal) OR (muscle) OR (liver) OR (kidney))"	MBC:0000002	Amino acid metabolism	True
MBC:0000120	Metabolism of fat-soluble vitamins	2	"((""vitamin A biosynthesis"") OR (""retinol biosynthesis"") OR (""retinal biosynthesis"") OR (""retinic acid biosynthesis"") OR (""vitamin K biosynthesis"") OR (""phylloquinone biosynthesis"")) AND (enzyme)"	MBC:0000037	Vitamin metabolism	False
MBC:0000121	Metabolism of glutamate and histidine products	2	"((""histamine metabolism"") OR (""GABA metabolism"")) AND (enzyme) AND ((human) OR (animal) OR (mammal))"	MBC:0000002	Amino acid metabolism	True
MBC:0000122	Metabolism of non-essential amino acids	2	"((""Serine metabolism"") OR (""Serine biosynthesis"") OR (""Serine synthesis"") OR (""Serine catabolism"") OR (""Glycine metabolism"") OR (""Glycine biosynthesis"") OR (""Glycine synthesis"") OR (""Glycine catabolism"") OR (""Proline metabolism"") OR (""Proline biosynthesis"") OR (""Proline synthesis"") OR (""Proline catabolism"") OR (""Aspartate metabolism"") OR (""Aspartate biosynthesis"") OR (""Aspartate synthesis"") OR (""Aspartate catabolism"") OR (""Arginine metabolism"") OR (""Arginine biosynthesis"") OR (""Arginine synthesis"") OR (""Arginine catabolism"") OR (""Glutamate metabolism"") OR (""Glutamate biosynthesis"") OR (""Glutamate synthesis"") OR (""Glutamate catabolism"") OR (""Glutamine metabolism"") OR (""Glutamine biosynthesis"") OR (""Glutamine synthesis"") OR (""Glutamine catabolism"") OR (""Tyrosine metabolism"") OR (""Tyrosine biosynthesis"") OR (""Tyrosine synthesis"") OR (""Tyrosine catabolism"") OR (""Glyoxylate metabolism"") OR (""Glyoxylate biosynthesis"") OR (""Glyoxylate synthesis"") OR (""Glyoxylate catabolism"")) AND (enzyme) AND ((human) OR (animal) OR (mammal) OR (muscle) OR (liver) OR (kidney))"	MBC:0000002	Amino acid metabolism	False
MBC:0000123	Metabolism of phenylalanine products	2	"((""catecholamine metabolism"") OR (""thyroid-hormone metabolism"")) AND (enzyme) AND ((human) OR (animal) OR (mammal))"	MBC:0000002	Amino acid metabolism	True
MBC:0000124	Metabolism of purines and pyrimidines	2	"((""purine metabolism"") OR (""pyrimidine metabolism"")) AND (enzyme) AND ((human) OR (animal) OR (mammal))"	MBC:0000028	Nucleotide metabolism	True
MBC:0000125	Metabolism of tryptophan products	2	"((""serotonin metabolism"") OR (""melatonin  metabolism"") OR (""niacin  metabolism"")) AND (enzyme) AND ((human) OR (animal) OR (mammal))"	MBC:0000002	Amino acid metabolism	True
MBC:0000126	Metabolism of water-soluble vitamins	2	"((""biotin biosynthesis"") OR (""biotin synthesis"") OR (""niacin biosynthesis"") OR (""nicotinic acid biosynthesis"") OR (""NAD biosynthesis"") OR (""NADP biosynthesis"") OR (""riboflavin biosynthesis"") OR (""FMN biosynthesis"") OR (""FAD biosynthesis"") OR (""vitamin B12 biosynthesis"") OR (""cobalamin biosynthesis"") OR (""vitamin B12 synthesis"") OR (""cobalamin synthesis"") OR (""vitamin C biosynthesis"") OR (""ascorbic acid biosynthesis"") OR (""vitamin B1 biosynthesis"") OR (""thiamine metabolism"")) AND (enzyme)"	MBC:0000037	Vitamin metabolism	False
MBC:0000127	Metal ion response	2	"Cell AND ""response to metal ions"" (human OR mammals OR mice)"	MBC:0000009	Cellular detoxification	True
MBC:0000128	Microtubule dynamics	2	"(""microtubule dynamics"")"	MBC:0000016	Cytoskeleton dynamics	True
MBC:0000129	Microtubule organization center dynamics	2	"(""Microtubule organization center"") OR (""MTOC"") "	MBC:0000016	Cytoskeleton dynamics	True
MBC:0000130	miRNA and endogenous siRNA biogenesis	2	"(""miRNA biogenesis"")"	MBC:0000020	Gene expression	True
MBC:0000131	miRNA mediated gene regulation	2	"miRNA AND ""gene regulation"" AND (human OR mammal OR mice)"	MBC:0000035	RNA mediated cellular regulation	True
MBC:0000132	Mitochondrial dynamics	2	"(""mitochondrial dynamics"")"	MBC:0000029	Organelle organization	True
MBC:0000133	Mitochondrial energy production	2	"((((""oxidative phosphorylation"") AND (""Electron transport chain"")) OR (""Citric acid cycle"")) OR (""mitochondrial energy production"")) OR ((Mitochondria) AND ((""ATP export"") OR (""ADP import"") OR (""ATP transport"") OR (""ADP transport""))) OR ((""Coenzyme Q10 biosynthesis"") OR (""ubiquinone biosynthesis""))"	MBC:0000018	Energy generation and metabolism of cellular monomers	True
MBC:0000134	Mitochondrial protein import machinery	2	"(""Mitochondrial protein import"") OR ((""mitochondrial membrane"") AND ((""protein import"") OR (""protein transport"")))"	MBC:0000036	Transmembrane protein import and translocation	True
MBC:0000135	Mitochondrial transcription	2	"(""Mitochondrial Transcription"")"	MBC:0000026	Mitochondrial gene expression	True
MBC:0000136	Mitochondrial translation	2	"(""Mitochondrial Translation"")"	MBC:0000026	Mitochondrial gene expression	True
MBC:0000137	Mitotic cell cycle checkpoints	2	"(""cell cycle checkpoint"")"	MBC:0000003	Cell cycle and cell division	True
MBC:0000138	mRNA capping, editing, polyadenylation and nuclear export	2	"(""mRNA capping"") OR (""mRNA polyadenylation"") OR ((""co-transcriptional"") AND (""pre-mRNA 3' end processing"")) OR (""nuclear mRNA export"") OR (""mRNA nuclear export"")OR (""mRNA editing"")"	MBC:0000020	Gene expression	True
MBC:0000139	mRNA translation	2	"(""mRNA translation"")"	MBC:0000020	Gene expression	True
